car_name,car_year,car_price,car_distance,car_shape,car_main_wheel,car_oil_type,car_volume,car_transmission,car_horse
Toyota Camry,2006,610000,185456, седан, передний, бензин,2.4,AT,167
Toyota Camry,2011,750000,128000, седан, передний, бензин,2.4,AT,167
Toyota Camry,2016,1530000,48000, седан, передний, бензин,3.5,AT,249
Toyota Sienna,2012,1500000,94000, минивэн, передний, бензин,3.5,AT,269
Toyota Camry,2013,920000,125000, седан, передний, бензин,2.5,AT,181
Toyota RAV4,2013,1350000,74700, внедорожник, полный, бензин,2.0,AT,146
Toyota Avensis,2007,470000,166000, седан, передний, бензин,1.8,MT,128
Toyota Corolla,2018,1200000,15000, седан, передний, бензин,1.6,CVT,122
Toyota Land Cruiser Prado,2014,2199000,3688, внедорожник, полный, бензин,2.7,MT,163
Toyota Carina,1993,160000,220000, седан, передний, бензин,1.6,AT,105
Toyota Camry,2006,600000,131000, седан, передний, бензин,2.4,AT,167
Toyota Corolla,2001,175000,180000, хетчбэк, передний, бензин,1.4,MT,96
Toyota Land Cruiser Prado,2004,900000,140000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1200000,110000, седан, передний, бензин,2.5,AT,181
Toyota Gaia,1999,355000,220000, минивэн, передний, дизель,2.2,AT,94
Toyota RAV4,2010,800000,124061, внедорожник, полный, бензин,2.0,AT,158
Toyota Land Cruiser Prado,2016,2530000,51710, внедорожник, полный, дизель,2.8,AT,177
Toyota Hiace,2013,1499000,74100, минивэн, задний, бензин,2.7,MT,151
Toyota Corolla,2016,905000,13456, седан, передний, бензин,1.6,AT,122
Toyota Land Cruiser,2015,3179000,115674, внедорожник, полный, дизель,4.5,AT,235
Toyota Camry,2018,2250000,10634, седан, передний, бензин,3.5,AT,249
Toyota Town Ace,2012,725000,87000, микроавтобус, полный, бензин,1.5,AT,95
Toyota Corolla,2007,139000,87000, микроавтобус, полный, бензин,1.5,AT,95
Toyota RAV4,2016,1768000,24337, внедорожник, полный, бензин,2.5,AT,180
Toyota Camry,2016,1410000,85500, седан, передний, бензин,2.5,AT,181
Toyota Platz,2000,150000,248000, седан, передний, бензин,1.5,MT,110
Toyota Hiace,1998,150000,333333, фургон, задний, дизель,2.2,MT,76
Toyota Corolla,2007,425000,123400, седан, полный, бензин,1.5,AT,105
Toyota Land Cruiser Prado,2017,1590000,123400, седан, полный, бензин,1.5,AT,105
Toyota Sienna,2005,815000,262000, минивэн, полный, бензин,3.3,AT,233
Toyota Highlander,2012,1238000,88320, внедорожник, полный, бензин,3.5,AT,273
Toyota Land Cruiser Prado,2010,1421000,407470, внедорожник, полный, дизель,3.0,AT,173
Toyota Corona,1992,88000,171000, универсал, передний, бензин,1.5,AT,82
Toyota Land Cruiser Prado,2010,1663000,158365, внедорожник, полный, бензин,4.0,AT,282
Toyota Land Cruiser Prado,2007,1090000,200000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1160000,178281, седан, передний, бензин,3.5,AT,249
Toyota Chaser,2001,325000,250000, седан, задний, бензин,2.0,AT,160
Toyota Camry,2010,680000,157200, седан, передний, бензин,2.4,AT,167
Toyota Highlander,2011,1159000,135118, внедорожник, полный, бензин,3.5,AT,273
Toyota Land Cruiser,2014,2849000,129579, внедорожник, полный, дизель,4.5,AT,235
Toyota Auris,2011,655000,143785, хетчбэк, передний, бензин,1.6,AT,124
Toyota Camry,2018,2145000,2300, седан, передний, бензин,2.5,AT,181
Toyota Corolla,2011,589000,129000, седан, передний, бензин,1.6,AT,124
Toyota Auris,2008,389000,151351, хетчбэк, передний, бензин,1.6,AT,124
Toyota Corolla,2014,799000,39307, седан, полный, бензин,1.6,AT,122
Toyota Camry,2006,610000,185456, седан, передний, бензин,2.4,AT,167
Toyota Camry,2011,750000,128000, седан, передний, бензин,2.4,AT,167
Toyota Camry,2016,1530000,48000, седан, передний, бензин,3.5,AT,249
Toyota Sienna,2012,1500000,94000, минивэн, передний, бензин,3.5,AT,269
Toyota Camry,2013,920000,125000, седан, передний, бензин,2.5,AT,181
Toyota RAV4,2013,1350000,74700, внедорожник, полный, бензин,2.0,AT,146
Toyota Avensis,2007,470000,166000, седан, передний, бензин,1.8,MT,128
Toyota Corolla,2018,1200000,15000, седан, передний, бензин,1.6,CVT,122
Toyota Land Cruiser Prado,2014,2199000,3688, внедорожник, полный, бензин,2.7,MT,163
Toyota Carina,1993,160000,220000, седан, передний, бензин,1.6,AT,105
Toyota Camry,2006,600000,131000, седан, передний, бензин,2.4,AT,167
Toyota Corolla,2001,175000,180000, хетчбэк, передний, бензин,1.4,MT,96
Toyota Land Cruiser Prado,2004,900000,140000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1200000,110000, седан, передний, бензин,2.5,AT,181
Toyota Gaia,1999,355000,220000, минивэн, передний, дизель,2.2,AT,94
Toyota RAV4,2010,800000,124061, внедорожник, полный, бензин,2.0,AT,158
Toyota Land Cruiser Prado,2016,2530000,51710, внедорожник, полный, дизель,2.8,AT,177
Toyota Hiace,2013,1499000,74100, минивэн, задний, бензин,2.7,MT,151
Toyota Corolla,2016,905000,13456, седан, передний, бензин,1.6,AT,122
Toyota Land Cruiser,2015,3179000,115674, внедорожник, полный, дизель,4.5,AT,235
Toyota Camry,2018,2250000,10634, седан, передний, бензин,3.5,AT,249
Toyota Town Ace,2012,725000,87000, микроавтобус, полный, бензин,1.5,AT,95
Toyota Corolla,2007,139000,87000, микроавтобус, полный, бензин,1.5,AT,95
Toyota RAV4,2016,1768000,24337, внедорожник, полный, бензин,2.5,AT,180
Toyota Camry,2016,1410000,85500, седан, передний, бензин,2.5,AT,181
Toyota Platz,2000,150000,248000, седан, передний, бензин,1.5,MT,110
Toyota Hiace,1998,150000,333333, фургон, задний, дизель,2.2,MT,76
Toyota Corolla,2007,425000,123400, седан, полный, бензин,1.5,AT,105
Toyota Land Cruiser Prado,2017,1590000,123400, седан, полный, бензин,1.5,AT,105
Toyota Sienna,2005,815000,262000, минивэн, полный, бензин,3.3,AT,233
Toyota Highlander,2012,1238000,88320, внедорожник, полный, бензин,3.5,AT,273
Toyota Land Cruiser Prado,2010,1421000,407470, внедорожник, полный, дизель,3.0,AT,173
Toyota Corona,1992,88000,171000, универсал, передний, бензин,1.5,AT,82
Toyota Land Cruiser Prado,2010,1663000,158365, внедорожник, полный, бензин,4.0,AT,282
Toyota Land Cruiser Prado,2007,1090000,200000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1160000,178281, седан, передний, бензин,3.5,AT,249
Toyota Chaser,2001,325000,250000, седан, задний, бензин,2.0,AT,160
Toyota Camry,2010,680000,157200, седан, передний, бензин,2.4,AT,167
Toyota Highlander,2011,1159000,135118, внедорожник, полный, бензин,3.5,AT,273
Toyota Land Cruiser,2014,2849000,129579, внедорожник, полный, дизель,4.5,AT,235
Toyota Auris,2011,655000,143785, хетчбэк, передний, бензин,1.6,AT,124
Toyota Camry,2018,2145000,2300, седан, передний, бензин,2.5,AT,181
Toyota Corolla,2011,589000,129000, седан, передний, бензин,1.6,AT,124
Toyota Auris,2008,389000,151351, хетчбэк, передний, бензин,1.6,AT,124
Toyota Corolla,2014,799000,39307, седан, полный, бензин,1.6,AT,122
Toyota Camry,2006,610000,185456, седан, передний, бензин,2.4,AT,167
Toyota Camry,2011,750000,128000, седан, передний, бензин,2.4,AT,167
Toyota Camry,2016,1530000,48000, седан, передний, бензин,3.5,AT,249
Toyota Sienna,2012,1500000,94000, минивэн, передний, бензин,3.5,AT,269
Toyota Camry,2013,920000,125000, седан, передний, бензин,2.5,AT,181
Toyota RAV4,2013,1350000,74700, внедорожник, полный, бензин,2.0,AT,146
Toyota Avensis,2007,470000,166000, седан, передний, бензин,1.8,MT,128
Toyota Corolla,2018,1200000,15000, седан, передний, бензин,1.6,CVT,122
Toyota Land Cruiser Prado,2014,2199000,3688, внедорожник, полный, бензин,2.7,MT,163
Toyota Carina,1993,160000,220000, седан, передний, бензин,1.6,AT,105
Toyota Camry,2006,600000,131000, седан, передний, бензин,2.4,AT,167
Toyota Corolla,2001,175000,180000, хетчбэк, передний, бензин,1.4,MT,96
Toyota Land Cruiser Prado,2004,900000,140000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1200000,110000, седан, передний, бензин,2.5,AT,181
Toyota Gaia,1999,355000,220000, минивэн, передний, дизель,2.2,AT,94
Toyota RAV4,2010,800000,124061, внедорожник, полный, бензин,2.0,AT,158
Toyota Land Cruiser Prado,2016,2530000,51710, внедорожник, полный, дизель,2.8,AT,177
Toyota Hiace,2013,1499000,74100, минивэн, задний, бензин,2.7,MT,151
Toyota Corolla,2016,905000,13456, седан, передний, бензин,1.6,AT,122
Toyota Land Cruiser,2015,3179000,115674, внедорожник, полный, дизель,4.5,AT,235
Toyota Camry,2018,2250000,10634, седан, передний, бензин,3.5,AT,249
Toyota Town Ace,2012,725000,87000, микроавтобус, полный, бензин,1.5,AT,95
Toyota Corolla,2007,139000,87000, микроавтобус, полный, бензин,1.5,AT,95
Toyota RAV4,2016,1768000,24337, внедорожник, полный, бензин,2.5,AT,180
Toyota Camry,2016,1410000,85500, седан, передний, бензин,2.5,AT,181
Toyota Platz,2000,150000,248000, седан, передний, бензин,1.5,MT,110
Toyota Hiace,1998,150000,333333, фургон, задний, дизель,2.2,MT,76
Toyota Corolla,2007,425000,123400, седан, полный, бензин,1.5,AT,105
Toyota Land Cruiser Prado,2017,1590000,123400, седан, полный, бензин,1.5,AT,105
Toyota Sienna,2005,815000,262000, минивэн, полный, бензин,3.3,AT,233
Toyota Highlander,2012,1238000,88320, внедорожник, полный, бензин,3.5,AT,273
Toyota Land Cruiser Prado,2010,1421000,407470, внедорожник, полный, дизель,3.0,AT,173
Toyota Corona,1992,88000,171000, универсал, передний, бензин,1.5,AT,82
Toyota Land Cruiser Prado,2010,1663000,158365, внедорожник, полный, бензин,4.0,AT,282
Toyota Land Cruiser Prado,2007,1090000,200000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1160000,178281, седан, передний, бензин,3.5,AT,249
Toyota Chaser,2001,325000,250000, седан, задний, бензин,2.0,AT,160
Toyota Camry,2010,680000,157200, седан, передний, бензин,2.4,AT,167
Toyota Highlander,2011,1159000,135118, внедорожник, полный, бензин,3.5,AT,273
Toyota Land Cruiser,2014,2849000,129579, внедорожник, полный, дизель,4.5,AT,235
Toyota Auris,2011,655000,143785, хетчбэк, передний, бензин,1.6,AT,124
Toyota Corolla,2011,589000,129000, седан, передний, бензин,1.6,AT,124
Toyota Auris,2008,389000,151351, хетчбэк, передний, бензин,1.6,AT,124
Toyota Corolla,2014,799000,39307, седан, полный, бензин,1.6,AT,122
Toyota Camry,2006,610000,185456, седан, передний, бензин,2.4,AT,167
Toyota Camry,2011,750000,128000, седан, передний, бензин,2.4,AT,167
Toyota Camry,2016,1530000,48000, седан, передний, бензин,3.5,AT,249
Toyota Sienna,2012,1500000,94000, минивэн, передний, бензин,3.5,AT,269
Toyota Camry,2013,920000,125000, седан, передний, бензин,2.5,AT,181
Toyota RAV4,2013,1350000,74700, внедорожник, полный, бензин,2.0,AT,146
Toyota Avensis,2007,470000,166000, седан, передний, бензин,1.8,MT,128
Toyota Corolla,2018,1200000,15000, седан, передний, бензин,1.6,CVT,122
Toyota Land Cruiser Prado,2014,2199000,3688, внедорожник, полный, бензин,2.7,MT,163
Toyota Carina,1993,160000,220000, седан, передний, бензин,1.6,AT,105
Toyota Camry,2006,600000,131000, седан, передний, бензин,2.4,AT,167
Toyota Corolla,2001,175000,180000, хетчбэк, передний, бензин,1.4,MT,96
Toyota Land Cruiser Prado,2004,900000,140000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1200000,110000, седан, передний, бензин,2.5,AT,181
Toyota Gaia,1999,355000,220000, минивэн, передний, дизель,2.2,AT,94
Toyota RAV4,2010,800000,124061, внедорожник, полный, бензин,2.0,AT,158
Toyota Land Cruiser Prado,2016,2530000,51710, внедорожник, полный, дизель,2.8,AT,177
Toyota Hiace,2013,1499000,74100, минивэн, задний, бензин,2.7,MT,151
Toyota Corolla,2016,905000,13456, седан, передний, бензин,1.6,AT,122
Toyota Land Cruiser,2015,3179000,115674, внедорожник, полный, дизель,4.5,AT,235
Toyota Camry,2018,2250000,10634, седан, передний, бензин,3.5,AT,249
Toyota Town Ace,2012,725000,87000, микроавтобус, полный, бензин,1.5,AT,95
Toyota Corolla,2007,139000,87000, микроавтобус, полный, бензин,1.5,AT,95
Toyota RAV4,2016,1768000,24337, внедорожник, полный, бензин,2.5,AT,180
Toyota Camry,2016,1410000,85500, седан, передний, бензин,2.5,AT,181
Toyota Platz,2000,150000,248000, седан, передний, бензин,1.5,MT,110
Toyota Hiace,1998,150000,333333, фургон, задний, дизель,2.2,MT,76
Toyota Corolla,2007,425000,123400, седан, полный, бензин,1.5,AT,105
Toyota Land Cruiser Prado,2017,1590000,123400, седан, полный, бензин,1.5,AT,105
Toyota Sienna,2005,815000,262000, минивэн, полный, бензин,3.3,AT,233
Toyota Highlander,2012,1238000,88320, внедорожник, полный, бензин,3.5,AT,273
Toyota Land Cruiser Prado,2010,1421000,407470, внедорожник, полный, дизель,3.0,AT,173
Toyota Corona,1992,88000,171000, универсал, передний, бензин,1.5,AT,82
Toyota Land Cruiser Prado,2010,1663000,158365, внедорожник, полный, бензин,4.0,AT,282
Toyota Land Cruiser Prado,2007,1090000,200000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1160000,178281, седан, передний, бензин,3.5,AT,249
Toyota Chaser,2001,325000,250000, седан, задний, бензин,2.0,AT,160
Toyota Camry,2010,680000,157200, седан, передний, бензин,2.4,AT,167
Toyota Highlander,2011,1159000,135118, внедорожник, полный, бензин,3.5,AT,273
Toyota Land Cruiser,2014,2849000,129579, внедорожник, полный, дизель,4.5,AT,235
Toyota Auris,2011,655000,143785, хетчбэк, передний, бензин,1.6,AT,124
Toyota Corolla,2011,589000,129000, седан, передний, бензин,1.6,AT,124
Toyota Auris,2008,389000,151351, хетчбэк, передний, бензин,1.6,AT,124
Toyota Corolla,2014,799000,39307, седан, полный, бензин,1.6,AT,122
Toyota Camry,2006,610000,185456, седан, передний, бензин,2.4,AT,167
Toyota Camry,2011,750000,128000, седан, передний, бензин,2.4,AT,167
Toyota Camry,2016,1530000,48000, седан, передний, бензин,3.5,AT,249
Toyota Sienna,2012,1500000,94000, минивэн, передний, бензин,3.5,AT,269
Toyota Camry,2013,920000,125000, седан, передний, бензин,2.5,AT,181
Toyota RAV4,2013,1350000,74700, внедорожник, полный, бензин,2.0,AT,146
Toyota Avensis,2007,470000,166000, седан, передний, бензин,1.8,MT,128
Toyota Corolla,2018,1200000,15000, седан, передний, бензин,1.6,CVT,122
Toyota Land Cruiser Prado,2014,2199000,3688, внедорожник, полный, бензин,2.7,MT,163
Toyota Carina,1993,160000,220000, седан, передний, бензин,1.6,AT,105
Toyota Camry,2006,600000,131000, седан, передний, бензин,2.4,AT,167
Toyota Corolla,2001,175000,180000, хетчбэк, передний, бензин,1.4,MT,96
Toyota Land Cruiser Prado,2004,900000,140000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1200000,110000, седан, передний, бензин,2.5,AT,181
Toyota Gaia,1999,355000,220000, минивэн, передний, дизель,2.2,AT,94
Toyota RAV4,2010,800000,124061, внедорожник, полный, бензин,2.0,AT,158
Toyota Land Cruiser Prado,2016,2530000,51710, внедорожник, полный, дизель,2.8,AT,177
Toyota Hiace,2013,1499000,74100, минивэн, задний, бензин,2.7,MT,151
Toyota Corolla,2016,905000,13456, седан, передний, бензин,1.6,AT,122
Toyota Land Cruiser,2015,3179000,115674, внедорожник, полный, дизель,4.5,AT,235
Toyota Camry,2018,2250000,10634, седан, передний, бензин,3.5,AT,249
Toyota Town Ace,2012,725000,87000, микроавтобус, полный, бензин,1.5,AT,95
Toyota Corolla,2007,139000,87000, микроавтобус, полный, бензин,1.5,AT,95
Toyota RAV4,2016,1768000,24337, внедорожник, полный, бензин,2.5,AT,180
Toyota Camry,2016,1410000,85500, седан, передний, бензин,2.5,AT,181
Toyota Platz,2000,150000,248000, седан, передний, бензин,1.5,MT,110
Toyota Hiace,1998,150000,333333, фургон, задний, дизель,2.2,MT,76
Toyota Corolla,2007,425000,123400, седан, полный, бензин,1.5,AT,105
Toyota Land Cruiser Prado,2017,1590000,123400, седан, полный, бензин,1.5,AT,105
Toyota Sienna,2005,815000,262000, минивэн, полный, бензин,3.3,AT,233
Toyota Highlander,2012,1238000,88320, внедорожник, полный, бензин,3.5,AT,273
Toyota Land Cruiser Prado,2010,1421000,407470, внедорожник, полный, дизель,3.0,AT,173
Toyota Corona,1992,88000,171000, универсал, передний, бензин,1.5,AT,82
Toyota Land Cruiser Prado,2010,1663000,158365, внедорожник, полный, бензин,4.0,AT,282
Toyota Land Cruiser Prado,2007,1090000,200000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1160000,178281, седан, передний, бензин,3.5,AT,249
Toyota Chaser,2001,325000,250000, седан, задний, бензин,2.0,AT,160
Toyota Camry,2010,680000,157200, седан, передний, бензин,2.4,AT,167
Toyota Highlander,2011,1159000,135118, внедорожник, полный, бензин,3.5,AT,273
Toyota Land Cruiser,2014,2849000,129579, внедорожник, полный, дизель,4.5,AT,235
Toyota Auris,2011,655000,143785, хетчбэк, передний, бензин,1.6,AT,124
Toyota Corolla,2011,589000,129000, седан, передний, бензин,1.6,AT,124
Toyota Auris,2008,389000,151351, хетчбэк, передний, бензин,1.6,AT,124
Toyota Corolla,2014,799000,39307, седан, полный, бензин,1.6,AT,122
Toyota Camry,2006,610000,185456, седан, передний, бензин,2.4,AT,167
Toyota Camry,2011,750000,128000, седан, передний, бензин,2.4,AT,167
Toyota Camry,2016,1530000,48000, седан, передний, бензин,3.5,AT,249
Toyota Sienna,2012,1500000,94000, минивэн, передний, бензин,3.5,AT,269
Toyota Camry,2013,920000,125000, седан, передний, бензин,2.5,AT,181
Toyota RAV4,2013,1350000,74700, внедорожник, полный, бензин,2.0,AT,146
Toyota Avensis,2007,470000,166000, седан, передний, бензин,1.8,MT,128
Toyota Corolla,2018,1200000,15000, седан, передний, бензин,1.6,CVT,122
Toyota Land Cruiser Prado,2014,2199000,3688, внедорожник, полный, бензин,2.7,MT,163
Toyota Carina,1993,160000,220000, седан, передний, бензин,1.6,AT,105
Toyota Camry,2006,600000,131000, седан, передний, бензин,2.4,AT,167
Toyota Corolla,2001,175000,180000, хетчбэк, передний, бензин,1.4,MT,96
Toyota Land Cruiser Prado,2004,900000,140000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1200000,110000, седан, передний, бензин,2.5,AT,181
Toyota Gaia,1999,355000,220000, минивэн, передний, дизель,2.2,AT,94
Toyota RAV4,2010,800000,124061, внедорожник, полный, бензин,2.0,AT,158
Toyota Land Cruiser Prado,2016,2530000,51710, внедорожник, полный, дизель,2.8,AT,177
Toyota Hiace,2013,1499000,74100, минивэн, задний, бензин,2.7,MT,151
Toyota Corolla,2016,905000,13456, седан, передний, бензин,1.6,AT,122
Toyota Land Cruiser,2015,3179000,115674, внедорожник, полный, дизель,4.5,AT,235
Toyota Camry,2018,2250000,10634, седан, передний, бензин,3.5,AT,249
Toyota Town Ace,2012,725000,87000, микроавтобус, полный, бензин,1.5,AT,95
Toyota Corolla,2007,139000,87000, микроавтобус, полный, бензин,1.5,AT,95
Toyota RAV4,2016,1768000,24337, внедорожник, полный, бензин,2.5,AT,180
Toyota Camry,2016,1410000,85500, седан, передний, бензин,2.5,AT,181
Toyota Platz,2000,150000,248000, седан, передний, бензин,1.5,MT,110
Toyota Hiace,1998,150000,333333, фургон, задний, дизель,2.2,MT,76
Toyota Corolla,2007,425000,123400, седан, полный, бензин,1.5,AT,105
Toyota Land Cruiser Prado,2017,1590000,123400, седан, полный, бензин,1.5,AT,105
Toyota Sienna,2005,815000,262000, минивэн, полный, бензин,3.3,AT,233
Toyota Highlander,2012,1238000,88320, внедорожник, полный, бензин,3.5,AT,273
Toyota Land Cruiser Prado,2010,1421000,407470, внедорожник, полный, дизель,3.0,AT,173
Toyota Corona,1992,88000,171000, универсал, передний, бензин,1.5,AT,82
Toyota Land Cruiser Prado,2010,1663000,158365, внедорожник, полный, бензин,4.0,AT,282
Toyota Land Cruiser Prado,2007,1090000,200000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1160000,178281, седан, передний, бензин,3.5,AT,249
Toyota Chaser,2001,325000,250000, седан, задний, бензин,2.0,AT,160
Toyota Camry,2010,680000,157200, седан, передний, бензин,2.4,AT,167
Toyota Highlander,2011,1159000,135118, внедорожник, полный, бензин,3.5,AT,273
Toyota Land Cruiser,2014,2849000,129579, внедорожник, полный, дизель,4.5,AT,235
Toyota Auris,2011,655000,143785, хетчбэк, передний, бензин,1.6,AT,124
Toyota Corolla,2011,589000,129000, седан, передний, бензин,1.6,AT,124
Toyota Auris,2008,389000,151351, хетчбэк, передний, бензин,1.6,AT,124
Toyota Corolla,2014,799000,39307, седан, полный, бензин,1.6,AT,122
Toyota Camry,2006,610000,185456, седан, передний, бензин,2.4,AT,167
Toyota Camry,2011,750000,128000, седан, передний, бензин,2.4,AT,167
Toyota Camry,2016,1530000,48000, седан, передний, бензин,3.5,AT,249
Toyota Sienna,2012,1500000,94000, минивэн, передний, бензин,3.5,AT,269
Toyota Camry,2013,920000,125000, седан, передний, бензин,2.5,AT,181
Toyota RAV4,2013,1350000,74700, внедорожник, полный, бензин,2.0,AT,146
Toyota Avensis,2007,470000,166000, седан, передний, бензин,1.8,MT,128
Toyota Corolla,2018,1200000,15000, седан, передний, бензин,1.6,CVT,122
Toyota Land Cruiser Prado,2014,2199000,3688, внедорожник, полный, бензин,2.7,MT,163
Toyota Carina,1993,160000,220000, седан, передний, бензин,1.6,AT,105
Toyota Camry,2006,600000,131000, седан, передний, бензин,2.4,AT,167
Toyota Corolla,2001,175000,180000, хетчбэк, передний, бензин,1.4,MT,96
Toyota Land Cruiser Prado,2004,900000,140000, внедорожник, полный, бензин,4.0,AT,249
Toyota Camry,2014,1200000,110000, седан, передний, бензин,2.5,AT,181
Toyota Gaia,1999,355000,220000, минивэн, передний, дизель,2.2,AT,94
Toyota RAV4,2010,800000,124061, внедорожник, полный, бензин,2.0,AT,158
Toyota Land Cruiser Prado,2016,2530000,51710, внедорожник, полный, дизель,2.8,AT,177
